Latitude,Longitude,Crash Type
35.708,-88.33554,Property Damage
35.50603,-88.33573,Property Damage
35.80228,-88.33576,Property Damage
35.8048,-88.33654,Property Damage
35.51259,-88.33681,Property Damage
35.50587,-88.33685,Property Damage
35.63384,-88.33691,Property Damage
35.665,-88.337,Property Damage
35.634,-88.33725,Property Damage
35.58458,-88.33728,Property Damage
35.65982,-88.3373,Property Damage
35.66007,-88.33741,Property Damage
35.66469,-88.33753,Property Damage
35.46126,-88.33757,Property Damage
35.46127,-88.33764,Property Damage
35.63418,-88.33801,Property Damage
35.50546,-88.3387,Property Damage
35.80177,-88.33938,Property Damage
35.80142,-88.34003,Property Damage
35.62331,-88.34011,Property Damage
35.80135,-88.34061,Property Damage
35.80131,-88.34078,Property Damage
35.46861,-88.34129,Property Damage
35.50485,-88.3418,Property Damage
35.80138,-88.34211,Property Damage
35.62209,-88.34274,Property Damage
35.63534,-88.34287,Property Damage
35.80112,-88.34391,Property Damage
35.80085,-88.34405,Property Damage
35.63565,-88.34414,Property Damage
35.50312,-88.34506,Property Damage
35.5044,-88.34533,Property Damage
35.50412,-88.34573,Property Damage
35.80081,-88.34611,Property Damage
35.8006,-88.34746,Property Damage
35.80059,-88.34763,Property Damage
35.4994,-88.34788,Property Damage
35.63671,-88.34856,Property Damage
35.63699,-88.34962,Property Damage
35.493,-88.34963,Property Damage
35.63725,-88.35079,Property Damage
35.5268,-88.35134,Property Damage
35.6374,-88.35142,Property Damage
35.79999,-88.35189,Property Damage
35.79998,-88.35193,Property Damage
35.50274,-88.35261,Property Damage
35.52753,-88.3528,Property Damage
35.7999,-88.35307,Property Damage
35.53267,-88.35503,Property Damage
35.589,-88.35504,Property Damage
35.79953,-88.35512,Property Damage
35.63828,-88.35512,Property Damage
35.74714,-88.35529,Property Damage
35.60927,-88.35554,Property Damage
35.65793,-88.35595,Property Damage
35.79935,-88.3563,Property Damage
35.6387,-88.35681,Property Damage
35.78304,-88.35707,Property Damage
35.78313,-88.3571,Property Damage
35.59079,-88.35717,Property Damage
35.79922,-88.35719,Property Damage
35.63882,-88.35754,Property Damage
35.783,-88.358,Property Damage
35.63905,-88.35911,Property Damage
35.79885,-88.35947,Property Damage
35.46301,-88.35985,Property Damage
35.63918,-88.35996,Property Damage
35.79874,-88.36,Property Damage
35.63924,-88.36036,Property Damage
35.63926,-88.36048,Property Damage
35.63928,-88.3606,Property Damage
35.56865,-88.36096,Property Damage
35.56576,-88.36099,Property Damage
35.56579,-88.361,Property Damage
35.63934,-88.36105,Property Damage
35.70049,-88.36116,Property Damage
35.54903,-88.36122,Property Damage
35.79808,-88.36168,Property Damage
35.64089,-88.36176,Property Damage
35.53458,-88.36188,Property Damage
35.79792,-88.36226,Property Damage
35.79785,-88.36249,Property Damage
35.75601,-88.36387,Property Damage
35.76885,-88.36403,Property Damage
35.63988,-88.36498,Property Damage
35.79693,-88.36515,Property Damage
35.639561,-88.365404,Property Damage
35.78141,-88.36562,Property Damage
35.7775,-88.36591,Property Damage
35.7336,-88.36611,Property Damage
35.6795,-88.36644,Property Damage
35.79664,-88.36657,Property Damage
35.59547,-88.36657,Property Damage
35.74318,-88.3671,Property Damage
35.79572,-88.36827,Property Damage
35.69194,-88.3687,Property Damage
35.69116,-88.36907,Property Damage
35.69095,-88.36916,Property Damage
35.68641,-88.36919,Property Damage
35.66312,-88.36923,Property Damage
35.68324,-88.36925,Property Damage
35.67831,-88.36929,Property Damage
35.76615,-88.36935,Property Damage
35.6764,-88.36941,Property Damage
35.67727,-88.36949,Property Damage
35.68884,-88.36952,Property Damage
35.66736,-88.37084,Property Damage
35.53507,-88.37098,Property Damage
35.64069,-88.37101,Property Damage
35.49899,-88.37113,Property Damage
35.64071,-88.37115,Property Damage
35.69153,-88.37124,Property Damage
35.79482,-88.37134,Property Damage
35.79474,-88.37152,Property Damage
35.64404,-88.37167,Property Damage
35.81145,-88.37201,Property Damage
35.49846,-88.37239,Property Damage
35.72871,-88.37249,Property Damage
35.61627,-88.3728,Property Damage
35.64095,-88.37302,Property Damage
35.69146,-88.37356,Property Damage
35.67514,-88.37359,Property Damage
35.78465,-88.3737,Property Damage
35.64105,-88.37376,Property Damage
35.65157,-88.37382,Property Damage
35.79377,-88.37405,Property Damage
35.66486,-88.37405,Property Damage
35.65236,-88.37429,Property Damage
35.66068,-88.37488,Property Damage
35.66151,-88.37517,Property Damage
